AMK_geno	
BDQ_geno	
CAP_geno	
CFZ_geno	
DCS_geno	
DEL_geno	
EMB_geno	
ETH_geno	
INH_geno	
KAN_geno	
FQ_geno	
LIN_geno	
PAS_geno	
PZA_geno	
RIF_geno	
STR_geno	
